DEPTH,CALI,RHOB,GR,NPHI,DT,SP,SDT
119.3292,12.5751,2.1131,109.6665,0.4076,142.3387,-220.7734,351.4447
119.4816,12.5751,2.1035,111.8724,0.4232,139.6837,-221.4609,352.687
119.634,12.5985,2.0847,103.9595,0.3326,136.9992,-220.9531,343.765
119.7864,12.5985,2.0916,102.679,0.2849,132.879,-221.0781,323.369
119.9388,12.5868,2.1344,98.3358,0.268,128.7845,-220.9766,309.8039
120.0912,12.5868,2.18,103.664,0.3335,127.5036,-220.25,313.108
120.2436,12.5751,2.2006,100.064,0.3565,127.8959,-219.8984,315.8514
120.396,12.5868,2.2011,105.5901,0.3681,130.1319,-220.3906,323.2635
120.5484,12.5751,2.1989,101.4356,0.3921,132.4245,-220.1172,329.9273
120.7008,12.5985,2.2068,101.7519,0.3614,132.9066,-221.4844,337.5541
120.8532,12.6101,2.2176,93.3068,0.3788,132.476,-221.0078,344.8712
121.0056,12.5985,2.2222,96.287,0.3737,132.198,-219.9063,347.017
121.158,12.5985,2.2199,92.6882,0.3804,132.7662,-219.5625,350.624
121.3104,12.5985,2.214,96.08,0.3714,134.2175,-218.875,357.1245
121.4628,12.6101,2.2116,93.0996,0.3815,135.2794,-218.75,367.5599
121.6152,12.5985,2.21,99.0876,0.4007,136.3829,-221.8203,372.9772
121.7676,12.5985,2.2177,96.3149,0.419,137.0171,-219.0156,382.2903
121.92,12.6218,2.2216,100.9921,0.3963,137.1512,-217.0139,392.5144
122.0724,12.6218,2.2265,100.7489,0.4284,136.0118,-217.8125,400.3103
122.2248,12.6452,2.2259,104.5696,0.3796,136.297,-218.4297,400.1998
122.3772,12.6452,2.2299,100.6876,0.3841,136.9228,-218.4445,399.1142
122.5296,12.6452,2.2325,97.534,0.3434,137.5248,-219.2946,399.1142
122.682,12.5985,2.224,92.5465,0.3565,137.6154,-219.5347,401.5151
122.8344,12.6218,2.2142,89.4619,0.3999,137.9998,-220.3594,400.0269
122.9868,12.6452,2.2078,83.7042,0.4645,137.8654,-220.6484,399.4584
123.1392,,2.2078,,,137.342,,400.4267
123.1392,12.6452,,81.5204,0.483,,-221.2768,
123.2916,,2.2063,,,137.2905,,403.747
123.2916,12.6452,,83.7043,0.5273,,-220.6805,
123.444,12.5985,2.1998,88.1854,0.5343,138.2555,-219.625,404.9708
123.5964,,2.1997,,,140.1745,,409.9182
123.5964,12.5401,,85.6057,0.5405,,-219.5234,
123.7488,,2.2072,,,141.0409,,409.9182
123.7488,12.5518,,89.7497,0.4652,,-218.8984,
123.9012,12.5518,2.2177,93.1367,0.5025,139.8419,-217.5234,405.1164
124.0536,,2.2185,,,135.0455,,384.7089
124.0536,12.5284,,99.1921,0.4356,,-217.0,
124.206,,2.182,,,131.5971,,363.1009
